TransactionID,Date,Account,Type,Category,Subcategory,Amount,VendorClient,Description,PaymentMethod,Department,City,Month
300000,2026-03-09T00:00:00Z,Business,Expense,Utilities,Utilities Sub,-4241,Entity_695,Utilities Transaction,Eft,Sales,Cape Town,2026-03
300001,2026-03-30T00:00:00Z,Card,Expense,Utilities,Utilities Sub,-9810,Entity_659,Utilities Transaction,Cash,Operations,Durban,2026-03
300002,2026-03-08T00:00:00Z,Business,Expense,Software,Software Sub,-18465,Entity_45,Software Transaction,Card,Operations,Durban,2026-03
300003,2026-02-16T00:00:00Z,Business,Expense,Consulting,Consulting Sub,-6494,Entity_611,Consulting Transaction,Card,Admin,Cape Town,2026-02
300004,2026-02-15T00:00:00Z,Business,Income,Marketing,Marketing Sub,11622,Entity_821,Marketing Transaction,Card,Admin,Johannesburg,2026-02
300005,2026-01-13T00:00:00Z,Business,Income,Software,Software Sub,16224,Entity_793,Software Transaction,Card,Operations,Cape Town,2026-01
300006,2026-02-11T00:00:00Z,Business,Income,Consulting,Consulting Sub,16839,Entity_414,Consulting Transaction,Card,Admin,Cape Town,2026-02
300007,2026-03-16T00:00:00Z,Business,Expense,Utilities,Utilities Sub,-10617,Entity_10,Utilities Transaction,Cash,Operations,Johannesburg,2026-03
300008,2026-03-22T00:00:00Z,Card,Income,Consulting,Consulting Sub,8088,Entity_956,Consulting Transaction,Card,Sales,Cape Town,2026-03
300009,2026-02-09T00:00:00Z,Business,Income,Rent,Rent Sub,4252,Entity_665,Rent Transaction,Eft,Admin,Cape Town,2026-02
300010,2026-01-30T00:00:00Z,Business,Income,Marketing,Marketing Sub,18485,Entity_581,Marketing Transaction,Card,Operations,Cape Town,2026-01
300011,2026-01-22T00:00:00Z,Card,Income,Consulting,Consulting Sub,18497,Entity_946,Consulting Transaction,Cash,Sales,Durban,2026-01
300012,2026-02-10T00:00:00Z,Business,Expense,Utilities,Utilities Sub,-9810,Entity_125,Utilities Transaction,Eft,Operations,Johannesburg,2026-02
300013,2026-01-20T00:00:00Z,Card,Expense,Marketing,Marketing Sub,-14765,Entity_805,Marketing Transaction,Card,Operations,Cape Town,2026-01
300014,2026-01-21T00:00:00Z,Business,Expense,Sales,Sales Sub,-8516,Entity_369,Sales Transaction,Card,Admin,Durban,2026-01
300015,2026-02-05T00:00:00Z,Business,Expense,Sales,Sales Sub,-15499,Entity_725,Sales Transaction,Card,Operations,Cape Town,2026-02
300016,2026-02-23T00:00:00Z,Card,Income,Rent,Rent Sub,14139,Entity_703,Rent Transaction,Eft,Admin,Pretoria,2026-02
300017,2026-02-24T00:00:00Z,Business,Expense,Rent,Rent Sub,-11959,Entity_501,Rent Transaction,Cash,Sales,Johannesburg,2026-02
300018,2026-01-19T00:00:00Z,Business,Income,Sales,Sales Sub,7024,Entity_633,Sales Transaction,Eft,Sales,Pretoria,2026-01
300019,2026-03-25T00:00:00Z,Card,Income,Rent,Rent Sub,2756,Entity_811,Rent Transaction,Cash,Operations,Durban,2026-03
300020,2026-01-05T00:00:00Z,Card,Expense,Travel,Travel Sub,-15396,Entity_859,Travel Transaction,Cash,Operations,Durban,2026-01
300021,2026-03-29T00:00:00Z,Card,Income,Travel,Travel Sub,14359,Entity_230,Travel Transaction,Cash,Operations,Cape Town,2026-03
300022,2026-03-15T00:00:00Z,Business,Expense,Travel,Travel Sub,-7944,Entity_56,Travel Transaction,Eft,Admin,Johannesburg,2026-03
300023,2026-02-25T00:00:00Z,Business,Expense,Sales,Sales Sub,-9515,Entity_732,Sales Transaction,Card,Admin,Pretoria,2026-02
300024,2026-03-26T00:00:00Z,Card,Expense,Rent,Rent Sub,-12305,Entity_821,Rent Transaction,Eft,Sales,Pretoria,2026-03
300025,2026-01-24T00:00:00Z,Card,Expense,Marketing,Marketing Sub,-1476,Entity_34,Marketing Transaction,Card,Admin,Cape Town,2026-01
300026,2026-01-16T00:00:00Z,Card,Expense,Marketing,Marketing Sub,-11999,Entity_29,Marketing Transaction,Cash,Sales,Cape Town,2026-01
300027,2026-02-25T00:00:00Z,Card,Income,Travel,Travel Sub,14021,Entity_647,Travel Transaction,Card,Admin,Pretoria,2026-02
300028,2026-01-30T00:00:00Z,Card,Expense,Rent,Rent Sub,-7697,Entity_216,Rent Transaction,Card,Sales,Pretoria,2026-01
300029,2026-02-09T00:00:00Z,Card,Expense,Utilities,Utilities Sub,-7765,Entity_980,Utilities Transaction,Card,Sales,Durban,2026-02
300030,2026-01-25T00:00:00Z,Business,Expense,Sales,Sales Sub,-11481,Entity_147,Sales Transaction,Card,Sales,Cape Town,2026-01
300031,2026-01-08T00:00:00Z,Card,Expense,Rent,Rent Sub,-2195,Entity_219,Rent Transaction,Eft,Sales,Cape Town,2026-01
300032,2026-03-10T00:00:00Z,Card,Income,Sales,Sales Sub,14029,Entity_767,Sales Transaction,Eft,Sales,Durban,2026-03
300033,2026-03-02T00:00:00Z,Card,Expense,Consulting,Consulting Sub,-5074,Entity_406,Consulting Transaction,Card,Operations,Pretoria,2026-03
300034,2026-02-27T00:00:00Z,Card,Income,Sales,Sales Sub,3724,Entity_873,Sales Transaction,Card,Admin,Pretoria,2026-02
300035,2026-02-18T00:00:00Z,Card,Income,Sales,Sales Sub,16419,Entity_953,Sales Transaction,Eft,Sales,Cape Town,2026-02
300036,2026-02-19T00:00:00Z,Business,Expense,Software,Software Sub,-3384,Entity_93,Software Transaction,Cash,Admin,Durban,2026-02
300037,2026-03-11T00:00:00Z,Business,Expense,Utilities,Utilities Sub,-8977,Entity_487,Utilities Transaction,Cash,Sales,Durban,2026-03
300038,2026-03-16T00:00:00Z,Business,Expense,Sales,Sales Sub,-8818,Entity_135,Sales Transaction,Cash,Sales,Johannesburg,2026-03
300039,2026-02-11T00:00:00Z,Card,Income,Marketing,Marketing Sub,3851,Entity_718,Marketing Transaction,Eft,Operations,Cape Town,2026-02
300040,2026-02-12T00:00:00Z,Card,Income,Travel,Travel Sub,15160,Entity_398,Travel Transaction,Cash,Admin,Cape Town,2026-02
300041,2026-03-07T00:00:00Z,Card,Income,Travel,Travel Sub,3124,Entity_698,Travel Transaction,Eft,Sales,Durban,2026-03
300042,2026-02-14T00:00:00Z,Card,Expense,Rent,Rent Sub,-6045,Entity_980,Rent Transaction,Eft,Admin,Durban,2026-02
300043,2026-03-20T00:00:00Z,Business,Income,Marketing,Marketing Sub,6759,Entity_583,Marketing Transaction,Card,Admin,Cape Town,2026-03
300044,2026-02-16T00:00:00Z,Business,Income,Software,Software Sub,17322,Entity_793,Software Transaction,Card,Operations,Cape Town,2026-02
300045,2026-03-10T00:00:00Z,Card,Income,Travel,Travel Sub,6113,Entity_244,Travel Transaction,Eft,Admin,Johannesburg,2026-03
300046,2026-03-17T00:00:00Z,Business,Income,Consulting,Consulting Sub,14412,Entity_555,Consulting Transaction,Eft,Admin,Johannesburg,2026-03
300047,2026-01-21T00:00:00Z,Card,Income,Software,Software Sub,13274,Entity_314,Software Transaction,Cash,Sales,Cape Town,2026-01
300048,2026-01-19T00:00:00Z,Card,Income,Software,Software Sub,14093,Entity_650,Software Transaction,Eft,Operations,Cape Town,2026-01
300049,2026-01-17T00:00:00Z,Card,Income,Travel,Travel Sub,17355,Entity_715,Travel Transaction,Card,Operations,Johannesburg,2026-01
300050,2026-03-16T00:00:00Z,Business,Expense,Consulting,Consulting Sub,-9967,Entity_410,Consulting Transaction,Cash,Admin,Johannesburg,2026-03
300051,2026-03-17T00:00:00Z,Business,Income,Rent,Rent Sub,13844,Entity_212,Rent Transaction,Eft,Operations,Durban,2026-03
