TransactionID,Date,Account,Type,Category,Subcategory,Amount,VendorClient,Description,PaymentMethod,Department,City
300000,09/03/2026,Business,Expense,Utilities,Utilities Sub,-4241,Entity_695,Utilities transaction,eft,Sales,Cape Town
300001,30 Mar 2026,Card,Expense,Utilities,Utilities Sub,-9810,Entity_659,Utilities transaction,Cash,Operations,Durban
300002,2026/03/08,Business,Expense,Software,Software Sub,-18465,Entity_45,Software transaction,card,Operations,Durban
300003,16/02/2026,Business,Expense,Consulting,Consulting Sub,-6494,Entity_611,Consulting transaction,card,Admin,cape town
300004,15 Feb 2026,Business,Income,Marketing,Marketing Sub,11622,Entity_821,Marketing transaction,card,Admin,Johannesburg
300005,2026/01/13,Business,Income,Software,Software Sub,16224,Entity_793,Software transaction,Card,Operations,cape town
300006,11/02/2026,Business,Income,Consulting,Consulting Sub,16839,Entity_414,Consulting transaction,card,Admin,Cape Town
300007,2026/03/16,Business,Expense,Utilities,Utilities Sub,-10617,Entity_10,Utilities transaction,Cash,Operations,Johannesburg
300008,2026/03/22,Card,Income,Consulting,Consulting Sub,"8,088",Entity_956,Consulting transaction,Card,Sales,cape town
300009,2026/02/09,Business,Income,Rent,Rent Sub,4252,Entity_665,Rent transaction,EFT,Admin,cape town
300010,30 Jan 2026,Business,Income,Marketing,Marketing Sub,18485,Entity_581,Marketing transaction,card,Operations,cape town
300011,22/01/2026,Card,Income,Consulting,Consulting Sub,"18,497",Entity_946,Consulting transaction,Cash,Sales,Durban
300012,10 Feb 2026,Business,Expense,Utilities,Utilities Sub,-9810,Entity_125,Utilities transaction,EFT,Operations,Johannesburg
300013,20/01/2026,Card,Expense,Marketing,Marketing Sub,-14765,Entity_805,Marketing transaction,Card,Operations,cape town
300014,21/01/2026,Business,Expense,Sales,Sales Sub,-8516,Entity_369,Sales transaction,Card,Admin,Durban
300015,05/02/2026,Business,Expense,Sales,Sales Sub,-15499,Entity_725,Sales transaction,card,Operations,cape town
300016,23/02/2026,Card,Income,Rent,Rent Sub,14139,Entity_703,Rent transaction,eft,Admin,Pretoria
300017,24/02/2026,Business,Expense,Rent,Rent Sub,-11959,Entity_501,Rent transaction,Cash,Sales,Johannesburg
300018,19 Jan 2026,Business,Income,Sales,Sales Sub,7024,Entity_633,Sales transaction,eft,Sales,Pretoria
300019,2026-03-25,Card,Income,Rent,Rent Sub,2756,Entity_811,Rent transaction,Cash,Operations,Durban
300020,05 Jan 2026,Card,Expense,Travel,Travel Sub,-15396,Entity_859,Travel transaction,Cash,Operations,Durban
300021,2026/03/29,Card,Income,Travel,Travel Sub,14359,Entity_230,Travel transaction,Cash,Operations,Cape Town
300022,15 Mar 2026,Business,Expense,Travel,Travel Sub,-7944,Entity_56,Travel transaction,EFT,Admin,Johannesburg
300023,25 Feb 2026,Business,Expense,Sales,Sales Sub,-9515,Entity_732,Sales transaction,card,Admin,Pretoria
300024,26 Mar 2026,Card,Expense,Rent,Rent Sub,-12305,Entity_821,Rent transaction,eft,Sales,Pretoria
300025,2026/01/24,Card,Expense,Marketing,Marketing Sub,-1476,Entity_34,Marketing transaction,Card,Admin,cape town
300026,2026/01/16,Card,Expense,Marketing,Marketing Sub,-11999,Entity_29,Marketing transaction,Cash,Sales,Cape Town
300027,25 Feb 2026,Card,Income,Travel,Travel Sub,14021,Entity_647,Travel transaction,card,Admin,Pretoria
300028,30/01/2026,Card,Expense,Rent,Rent Sub,-7697,Entity_216,Rent transaction,card,Sales,Pretoria
300029,2026-02-09,Card,Expense,Utilities,Utilities Sub,-7765,Entity_980,Utilities transaction,Card,Sales,Durban
300030,2026-01-25,Business,Expense,Sales,Sales Sub,-11481,Entity_147,Sales transaction,Card,Sales,Cape Town
300031,08 Jan 2026,Card,Expense,Rent,Rent Sub,-2195,Entity_219,Rent transaction,eft,Sales,cape town
300032,2026-03-10,Card,Income,Sales,Sales Sub,14029,Entity_767,Sales transaction,EFT,Sales,Durban
300033,2026/03/02,Card,Expense,Consulting,Consulting Sub,-5074,Entity_406,Consulting transaction,card,Operations,Pretoria
300034,27 Feb 2026,Card,Income,Sales,Sales Sub,3724,Entity_873,Sales transaction,Card,Admin,Pretoria
300035,2026/02/18,Card,Income,Sales,Sales Sub,16419,Entity_953,Sales transaction,EFT,Sales,Cape Town
300036,2026/02/19,Business,Expense,Software,Software Sub,-3384,Entity_93,Software transaction,Cash,Admin,Durban
300037,11 Mar 2026,Business,Expense,Utilities,Utilities Sub,-8977,Entity_487,Utilities transaction,Cash,Sales,Durban
300038,16 Mar 2026,Business,Expense,Sales,Sales Sub,-8818,Entity_135,Sales transaction,Cash,Sales,Johannesburg
300039,11 Feb 2026,Card,Income,Marketing,Marketing Sub,"3,851",Entity_718,Marketing transaction,EFT,Operations,cape town
300040,12 Feb 2026,Card,Income,Travel,Travel Sub,15160,Entity_398,Travel transaction,Cash,Admin,Cape Town
300041,07/03/2026,Card,Income,Travel,Travel Sub,3124,Entity_698,Travel transaction,eft,Sales,Durban
300042,2026/02/14,Card,Expense,Rent,Rent Sub,-6045,Entity_980,Rent transaction,EFT,Admin,Durban
300043,2026-03-20,Business,Income,Marketing,Marketing Sub,6759,Entity_583,Marketing transaction,card,Admin,Cape Town
300044,16/02/2026,Business,Income,Software,Software Sub,17322,Entity_793,Software transaction,Card,Operations,Cape Town
300045,10 Mar 2026,Card,Income,Travel,Travel Sub,6113,Entity_244,Travel transaction,EFT,Admin,Johannesburg
300046,17 Mar 2026,Business,Income,Consulting,Consulting Sub,14412,Entity_555,Consulting transaction,eft,Admin,Johannesburg
300047,21 Jan 2026,Card,Income,Software,Software Sub,13274,Entity_314,Software transaction,Cash,Sales,cape town
300048,2026/01/19,Card,Income,Software,Software Sub,14093,Entity_650,Software transaction,eft,Operations,cape town
300049,17/01/2026,Card,Income,Travel,Travel Sub,17355,Entity_715,Travel transaction,card,Operations,Johannesburg
300050,16/03/2026,Business,Expense,Consulting,Consulting Sub,"-9,967",Entity_410,Consulting transaction,Cash,Admin,Johannesburg
300051,17/03/2026,Business,Income,Rent,Rent Sub,13844,Entity_212,Rent transaction,EFT,Operations,Durban
300052,25 Feb 2026,Card,Expense,Rent,Rent Sub,-3454,Entity_500,Rent transaction,Cash,Sales,Durban
