TransactionID,Date,StoreID,City,ProductID,Product,Category,Price,Quantity,Discount,Revenue,PaymentMethod,Cashier,CustomerID,ExpectedRevenue
1e+05,2026-03-05T00:00:00Z,8,Durban,153,Mouse,Accessories,25,5,0,125,Card,Cashier_25,2772,125
100001,2026-01-30T00:00:00Z,6,Cape Town,105,Laptop,Electronics,1200,4,5,4560,Eft,Cashier_1,4846,4560
100002,2026-03-09T00:00:00Z,8,Durban,241,Monitor,Electronics,300,2,10,540,Card,Cashier_15,4116,540
100003,2026-03-13T00:00:00Z,3,Johannesburg,130,Monitor,Electronics,300,3,0,900,Eft,Cashier_28,3079,900
100004,2026-03-05T00:00:00Z,10,Cape Town,222,Mouse,Accessories,25,3,5,71.25,Eft,Cashier_27,3722,71.25
100005,2026-03-26T00:00:00Z,3,Pretoria,200,Mouse,Accessories,25,3,5,71.25,Card,Cashier_31,1178,71.25
100006,2026-01-22T00:00:00Z,1,Cape Town,238,Keyboard,Accessories,45,5,10,202.5,Eft,Cashier_15,2656,202.5
100007,2026-02-04T00:00:00Z,7,Pretoria,133,Keyboard,Accessories,45,5,5,213.75,Eft,Cashier_14,2745,213.75
100008,2026-01-26T00:00:00Z,8,Johannesburg,206,Laptop,Electronics,1200,4,5,4560,Eft,Cashier_35,3553,4560
100009,2026-03-23T00:00:00Z,9,Pretoria,146,Keyboard,Accessories,45,4,0,180,Eft,Cashier_17,1132,180
100010,2026-02-05T00:00:00Z,5,Cape Town,259,Laptop,Electronics,1200,1,0,1200,Cash,Cashier_5,1685,1200
100011,2026-03-24T00:00:00Z,8,Johannesburg,227,Mouse,Accessories,25,3,0,75,Card,Cashier_20,2583,75
100012,2026-02-02T00:00:00Z,10,Durban,105,Keyboard,Accessories,45,4,0,180,Eft,Cashier_10,1144,180
100013,2026-01-29T00:00:00Z,4,Pretoria,266,Mouse,Accessories,25,4,10,90,Eft,Cashier_21,3702,90
100014,2026-01-28T00:00:00Z,5,Cape Town,119,Monitor,Electronics,300,1,5,285,Cash,Cashier_11,2704,285
100015,2026-01-05T00:00:00Z,10,Durban,143,Keyboard,Accessories,45,2,0,90,Eft,Cashier_33,1153,90
100016,2026-03-15T00:00:00Z,10,Cape Town,226,Monitor,Electronics,300,2,5,570,Eft,Cashier_19,3064,570
100017,2026-02-21T00:00:00Z,1,Cape Town,151,Monitor,Electronics,300,1,5,285,Eft,Cashier_9,2388,285
100018,2026-02-18T00:00:00Z,9,Durban,296,Monitor,Electronics,300,2,5,570,Card,Cashier_5,3971,570
100019,2026-03-10T00:00:00Z,5,Johannesburg,253,Laptop,Electronics,1200,1,0,1200,Cash,Cashier_24,2387,1200
100020,2026-03-19T00:00:00Z,3,Pretoria,241,Keyboard,Accessories,45,1,5,42.75,Cash,Cashier_3,2665,42.75
100021,2026-02-13T00:00:00Z,10,Pretoria,300,Laptop,Electronics,1200,4,0,4800,Card,Cashier_37,3253,4800
100022,2026-02-16T00:00:00Z,10,Pretoria,129,Mouse,Accessories,25,5,0,125,Cash,Cashier_7,4223,125
100023,2026-01-02T00:00:00Z,7,Cape Town,110,Laptop,Electronics,1200,3,0,3600,Eft,Cashier_27,1663,3600
100024,2026-01-21T00:00:00Z,7,Durban,238,Laptop,Electronics,1200,4,0,4800,Cash,Cashier_36,2037,4800
100025,2026-02-10T00:00:00Z,1,Cape Town,175,Monitor,Electronics,300,3,0,900,Cash,Cashier_29,2602,900
100026,2026-02-10T00:00:00Z,2,Johannesburg,155,Keyboard,Accessories,45,4,0,180,Eft,Cashier_31,3710,180
100027,2026-02-09T00:00:00Z,4,Johannesburg,120,Keyboard,Accessories,45,3,0,135,Card,Cashier_29,1370,135
