TransactionID,Date,StoreID,City,ProductID,Product,Category,Price,Quantity,Discount,Revenue,PaymentMethod,Cashier,CustomerID
100000,05 Mar 2026,8,Durban,153,mouse,Accessories,25,5,0,125.0,Card,Cashier_25,2772
100001,2026-01-30,6,Cape Town,105,laptop,Electronics,1200,4,5,4560.0,eft,Cashier_1,4846
100002,09/03/2026,8,Durban,241,Monitor,Electronics,300,2,10,540.0,card,Cashier_15,4116
100003,2026-03-13,3,Johannesburg,130,Monitor,Electronics,300,3,0,900.0,eft,Cashier_28,3079
100004,05 Mar 2026,10,Cape Town,222,Mouse,Accessories,25,3,5,71.25,EFT,Cashier_27,3722
100005,2026-03-26,3,Pretoria,200,Mouse,Accessories,25,3,5,71.25,Card,Cashier_31,1178
100006,22/01/2026,1,cape town,238,Keyboard,Accessories,45,5,10,202.5,eft,Cashier_15,2656
100007,2026-02-04,7,Pretoria,133,Keyboard,Accessories,45,5,5,213.75,eft,Cashier_14,2745
100008,26 Jan 2026,8,Johannesburg,206,Laptop,Electronics,1200,4,5,4560.0,eft,Cashier_35,3553
100009,23/03/2026,9,Pretoria,146,Keyboard,Accessories,45,4,0,180.0,eft,Cashier_17,1132
100010,05/02/2026,5,Cape Town,259,Laptop,Electronics,1200,1,0,1200.0,Cash,Cashier_5,1685
100011,2026/03/24,8,Johannesburg,227,Mouse,Accessories,25,3,0,75.0,Card,Cashier_20,2583
100012,02/02/2026,10,Durban,105,Keyboard,Accessories,45,4,0,180.0,EFT,Cashier_10,1144
100013,29 Jan 2026,4,Pretoria,266,mouse,Accessories,25,4,10,90.0,eft,Cashier_21,3702
100014,2026-01-28,5,Cape Town,119,Monitor,Electronics,300,1,5,285.0,Cash,Cashier_11,2704
100015,05/01/2026,10,Durban,143,Keyboard,Accessories,45,2,0,90.0,eft,Cashier_33,1153
100016,15 Mar 2026,10,cape town,226,Monitor,Electronics,300,2,5,570.0,EFT,Cashier_19,3064
100017,2026/02/21,1,cape town,151,Monitor,Electronics,300,1,5,285.0,eft,Cashier_9,2388
100018,2026/02/18,9,Durban,296,Monitor,Electronics,300,2,5,570.0,card,Cashier_5,3971
100019,10/03/2026,5,Johannesburg,253,Laptop,Electronics,1200,1,0,1200.0,Cash,Cashier_24,2387
100020,19 Mar 2026,3,Pretoria,241,Keyboard,Accessories,45,1,5,42.75,Cash,Cashier_3,2665
100021,2026-02-13,10,Pretoria,300,Laptop,Electronics,1200,4,0,4800.0,Card,Cashier_37,3253
100022,2026/02/16,10,Pretoria,129,Mouse,Accessories,25,5,0,125.0,Cash,Cashier_7,4223
100023,2026-01-02,7,Cape Town,110,Laptop,Electronics,1200,3,0,3600.0,eft,Cashier_27,1663
100024,2026-01-21,7,Durban,238,Laptop,Electronics,1200,4,0,4800.0,Cash,Cashier_36,2037
100025,2026-02-10,1,Cape Town,175,Monitor,Electronics,300,3,0,900.0,Cash,Cashier_29,2602
100026,10 Feb 2026,2,Johannesburg,155,Keyboard,Accessories,45,4,0,180.0,eft,Cashier_31,3710
100027,09/02/2026,4,Johannesburg,120,Keyboard,Accessories,45,3,0,135.0,Card,Cashier_29,1370
100028,2026/01/06,3,Johannesburg,248,Keyboard,Accessories,45,2,10,81.0,Cash,Cashier_16,2369
100029,03/01/2026,7,Cape Town,168,Laptop,Electronics,1200,5,0,6000.0,Card,Cashier_5,1088
100030,2026-01-20,9,Johannesburg,119,Laptop,Electronics,1200,3,5,3420.0,card,Cashier_12,4179
100031,2026/03/07,3,cape town,136,Mouse,Accessories,25,2,5,47.5,Card,Cashier_21,4362
100032,2026-01-21,4,Johannesburg,299,mouse,Accessories,25,2,5,47.5,EFT,Cashier_28,3249
100033,2026-02-28,7,Johannesburg,143,Keyboard,Accessories,45,5,10,202.5,Card,Cashier_27,4998
100034,17/03/2026,3,Johannesburg,170,Laptop,Electronics,1200,1,5,1140.0,EFT,Cashier_12,3508
100035,2026/03/09,9,Durban,275,Laptop,Electronics,"1,200",2,10,2160.0,card,Cashier_16,2281
100036,2026/02/13,4,Cape Town,118,Monitor,Electronics,300,4,0,1200.0,Cash,Cashier_11,3095
100037,2026/03/12,3,Durban,252,mouse,Accessories,25,3,5,71.25,Card,Cashier_39,4932
100038,2026-01-28,8,Durban,283,Monitor,Electronics,300,2,0,600.0,EFT,Cashier_33,4463
100039,2026/01/12,2,Johannesburg,288,Mouse,Accessories,25,5,0,125.0,card,Cashier_40,4448
100040,18 Feb 2026,7,cape town,183,Laptop,Electronics,1200,4,0,4800.0,eft,Cashier_32,4929
100041,2026-02-22,5,Johannesburg,163,Mouse,Accessories,25,1,10,22.5,eft,Cashier_1,4931
100042,04/01/2026,5,cape town,144,Mouse,Accessories,25,5,10,112.5,eft,Cashier_13,2119
100043,27/02/2026,9,Johannesburg,225,Keyboard,Accessories,45,5,5,213.75,Card,Cashier_14,3336
100044,2026-01-04,10,Cape Town,239,Monitor,Electronics,300,2,5,570.0,card,Cashier_5,3049
100045,2026/03/28,9,Johannesburg,100,Keyboard,Accessories,45,5,5,213.75,EFT,Cashier_23,2248
100046,18 Feb 2026,4,Pretoria,100,Monitor,Electronics,300,3,10,810.0,eft,Cashier_33,1814
100047,09/02/2026,8,Pretoria,271,Monitor,Electronics,300,5,10,1350.0,Cash,Cashier_34,1014
100048,2026-02-13,8,cape town,263,Monitor,Electronics,300,5,10,1350.0,Cash,Cashier_2,2667
100049,2026-01-10,6,Johannesburg,281,Mouse,Accessories,25,4,5,95.0,eft,Cashier_20,1622
100050,2026-03-07,5,Pretoria,125,Monitor,Electronics,300,3,10,810.0,EFT,Cashier_5,2454
100051,2026-01-21,7,Johannesburg,254,Laptop,Electronics,1200,4,0,4800.0,eft,Cashier_14,1971
100052,2026/03/08,8,Pretoria,242,Keyboard,Accessories,45,3,0,135.0,card,Cashier_20,3674
100053,21/02/2026,8,Johannesburg,256,Keyboard,Accessories,45,3,0,135.0,card,Cashier_17,4947
100054,25/02/2026,5,cape town,118,Mouse,Accessories,25,1,10,22.5,card,Cashier_38,2816
100055,21/01/2026,3,Durban,192,Mouse,Accessories,25,5,5,118.75,EFT,Cashier_16,1474
100056,2026/02/20,8,Cape Town,147,mouse,Accessories,25,3,0,75.0,eft,Cashier_2,4640
100057,20 Mar 2026,6,Johannesburg,130,Mouse,Accessories,25,1,10,22.5,card,Cashier_7,1909
100058,22/01/2026,4,Johannesburg,218,Monitor,Electronics,300,2,10,540.0,EFT,Cashier_14,2850
100059,2026-01-28,1,Cape Town,101,Keyboard,Accessories,45,3,10,121.5,Cash,Cashier_25,4473
100060,24/03/2026,1,Cape Town,199,Keyboard,Accessories,45,2,10,81.0,eft,Cashier_4,3313
100061,2026/03/25,1,Cape Town,237,monitor,Electronics,300,3,0,900.0,card,Cashier_3,4823
100062,04 Jan 2026,3,Johannesburg,275,Keyboard,Accessories,45,1,10,40.5,card,Cashier_29,2596
100063,01/02/2026,1,Pretoria,251,Keyboard,Accessories,45,3,5,128.25,EFT,Cashier_39,3859
100064,10 Mar 2026,2,Johannesburg,290,Laptop,Electronics,1200,3,10,3240.0,Card,Cashier_17,1727
100065,2026-02-24,1,Cape Town,231,Laptop,Electronics,1200,2,0,2400.0,Cash,Cashier_7,2280
100066,17 Jan 2026,8,Cape Town,288,Laptop,Electronics,1200,2,0,2400.0,Card,Cashier_17,4278
100067,2026-02-19,5,Johannesburg,288,Keyboard,Accessories,45,1,5,42.75,EFT,Cashier_8,4505
100068,06/03/2026,6,Johannesburg,230,Keyboard,Accessories,45,1,10,40.5,eft,Cashier_31,1428
100069,07/02/2026,4,Johannesburg,199,Mouse,Accessories,25,4,0,100.0,Card,Cashier_27,2414
100070,2026/03/25,7,Johannesburg,181,Mouse,Accessories,25,5,0,125.0,Cash,Cashier_34,3052
100071,2026/02/11,10,Cape Town,215,Laptop,Electronics,1200,5,0,6000.0,EFT,Cashier_30,4739
100072,08/01/2026,1,Pretoria,225,Keyboard,Accessories,45,4,0,180.0,Cash,Cashier_16,3879
100073,2026/03/01,9,Pretoria,142,keyboard,Accessories,45,3,5,128.25,Cash,Cashier_15,3305
100074,2026-03-21,2,Pretoria,274,Mouse,Accessories,25,1,0,25.0,Card,Cashier_14,2071
100075,28/01/2026,9,Durban,105,Laptop,Electronics,1200,5,0,6000.0,EFT,Cashier_19,1900
100076,31 Jan 2026,8,Johannesburg,239,Mouse,Accessories,25,5,10,112.5,card,Cashier_31,3972
100077,10 Mar 2026,9,Durban,119,Laptop,Electronics,1200,3,10,3240.0,eft,Cashier_38,3394
100078,2026-02-28,4,Johannesburg,278,Monitor,Electronics,300,1,5,285.0,Card,Cashier_35,1491
100079,2026/03/11,9,Durban,238,Keyboard,Accessories,45,5,5,213.75,eft,Cashier_27,3468
100080,26/02/2026,9,cape town,164,Keyboard,Accessories,45,4,5,171.0,EFT,Cashier_37,1148
100081,2026-03-26,2,Cape Town,101,Keyboard,Accessories,45,4,10,162.0,EFT,Cashier_18,4260
100082,15 Jan 2026,6,cape town,206,Keyboard,Accessories,45,4,5,171.0,card,Cashier_17,2506
100083,2026/02/22,9,Johannesburg,289,Mouse,Accessories,25,5,5,118.75,Cash,Cashier_28,2375
100084,21 Feb 2026,2,Cape Town,133,Monitor,Electronics,300,2,10,540.0,card,Cashier_15,3990
100085,13 Jan 2026,3,Cape Town,122,Laptop,Electronics,1200,1,5,1140.0,Card,Cashier_36,1894
100086,14 Jan 2026,2,Johannesburg,275,Monitor,Electronics,300,3,0,900.0,EFT,Cashier_4,4221
100087,2026/02/27,9,Durban,200,Mouse,Accessories,25,1,10,22.5,EFT,Cashier_7,1610
100088,02 Feb 2026,9,Johannesburg,226,Monitor,Electronics,300,5,0,1500.0,eft,Cashier_14,4230
100089,2026/03/26,5,Cape Town,238,Keyboard,Accessories,45,4,0,180.0,Cash,Cashier_7,1936
100090,2026/01/17,4,Durban,243,Keyboard,Accessories,45,3,0,135.0,Card,Cashier_35,4417
100091,2026/03/31,5,Durban,154,Mouse,Accessories,25,4,5,95.0,eft,Cashier_31,1989
100092,16 Mar 2026,9,cape town,114,Keyboard,Accessories,45,2,0,90.0,eft,Cashier_9,3642
100093,16/01/2026,3,Johannesburg,157,mouse,Accessories,25,3,10,67.5,eft,Cashier_4,3306
100094,2026/03/06,7,Johannesburg,101,Mouse,Accessories,25,1,0,25.0,Cash,Cashier_40,1902
100095,2026/02/13,10,Pretoria,197,laptop,Electronics,1200,2,5,2280.0,Cash,Cashier_23,1571
100096,2026/01/06,2,Cape Town,285,Laptop,Electronics,1200,3,0,3600.0,Cash,Cashier_21,2019
100097,11/01/2026,7,Johannesburg,284,Keyboard,Accessories,45,5,0,225.0,card,Cashier_7,3783
100098,2026-02-11,6,cape town,255,Keyboard,Accessories,45,3,0,135.0,Cash,Cashier_26,1373
100099,2026/02/20,4,Johannesburg,240,Monitor,Electronics,300,5,10,1350.0,eft,Cashier_33,1450
100100,2026-02-05,5,Pretoria,169,Mouse,Accessories,25,2,0,50.0,Cash,Cashier_31,1516
100101,2026/03/11,9,Pretoria,285,Monitor,Electronics,300,1,5,285.0,eft,Cashier_2,3535
100102,16/03/2026,4,Durban,296,Keyboard,Accessories,45,4,0,180.0,Cash,Cashier_11,1637
100103,18/03/2026,5,Johannesburg,270,Monitor,Electronics,300,4,10,1080.0,eft,Cashier_1,3200
100104,13 Jan 2026,1,Durban,253,Laptop,Electronics,1200,2,10,2160.0,Cash,Cashier_24,2672
100105,2026-03-02,1,Cape Town,128,Monitor,Electronics,300,5,10,1350.0,eft,Cashier_33,4126
100106,2026/03/14,8,cape town,259,Keyboard,Accessories,45,5,5,213.75,eft,Cashier_23,4571
100107,10 Feb 2026,6,Johannesburg,268,Mouse,Accessories,25,1,0,25.0,Card,Cashier_40,2781
100108,13 Feb 2026,4,Pretoria,232,Monitor,Electronics,300,4,5,1140.0,Cash,Cashier_8,4651
100109,2026-01-16,8,cape town,198,Mouse,Accessories,25,5,10,112.5,card,Cashier_26,3935
100110,12/02/2026,8,Durban,194,Mouse,Accessories,25,1,0,25.0,card,Cashier_28,2804
100111,04/02/2026,3,Cape Town,196,Monitor,Electronics,300,5,0,1500.0,Card,Cashier_5,4855
100112,06/02/2026,3,Pretoria,127,Mouse,Accessories,25,4,10,90.0,Card,Cashier_30,2624
100113,11/03/2026,7,cape town,269,Mouse,Accessories,25,5,10,112.5,card,Cashier_5,4174
100114,07/03/2026,7,cape town,110,Mouse,Accessories,25,2,10,45.0,card,Cashier_33,3828
100115,2026-01-16,7,Cape Town,243,laptop,Electronics,1200,2,10,2160.0,EFT,Cashier_3,3123
100116,09 Feb 2026,5,Durban,142,Mouse,Accessories,25,1,0,25.0,eft,Cashier_21,4156
100117,31 Mar 2026,7,cape town,226,Monitor,Electronics,300,5,10,1350.0,Cash,Cashier_10,2062
100118,13/02/2026,5,Johannesburg,164,Keyboard,Accessories,45,2,0,90.0,Cash,Cashier_37,2915
100119,29/01/2026,2,Pretoria,237,Laptop,Electronics,1200,2,0,2400.0,eft,Cashier_28,3933
100120,20/02/2026,2,Cape Town,139,Mouse,Accessories,25,5,0,125.0,Card,Cashier_2,4057
100121,17/03/2026,9,Pretoria,118,Monitor,Electronics,300,4,10,1080.0,EFT,Cashier_9,2170
100122,23/01/2026,5,cape town,189,Mouse,Accessories,25,4,5,95.0,Cash,Cashier_6,3106
100123,2026-03-21,10,Johannesburg,293,Keyboard,Accessories,45,2,10,81.0,eft,Cashier_4,1213
100124,2026-03-22,2,Durban,262,Keyboard,Accessories,45,2,0,90.0,card,Cashier_33,3079
100125,19/02/2026,10,Johannesburg,285,monitor,Electronics,300,1,0,300.0,Card,Cashier_13,4126
100126,23/03/2026,9,Pretoria,159,Monitor,Electronics,300,4,0,1200.0,Cash,Cashier_27,2632
100127,17/01/2026,9,Cape Town,216,Keyboard,Accessories,45,4,0,180.0,EFT,Cashier_14,2613
100128,06 Jan 2026,8,cape town,144,Keyboard,Accessories,45,2,0,90.0,card,Cashier_33,2576
100129,2026-03-17,6,Cape Town,217,keyboard,Accessories,45,2,0,90.0,eft,Cashier_12,4650
100130,2026-03-06,10,Durban,123,Mouse,Accessories,25,3,10,67.5,eft,Cashier_37,3646
100131,2026-03-02,9,Durban,104,Keyboard,Accessories,45,4,5,171.0,eft,Cashier_21,4257
100132,2026/03/19,7,Durban,233,Mouse,Accessories,25,5,5,118.75,eft,Cashier_38,1464
100133,2026/02/12,6,Pretoria,108,Laptop,Electronics,1200,5,0,6000.0,eft,Cashier_5,2986
100134,2026-03-11,3,Johannesburg,192,Laptop,Electronics,1200,5,10,5400.0,eft,Cashier_10,3414
100135,2026/02/23,6,Johannesburg,255,Laptop,Electronics,1200,4,5,4560.0,Card,Cashier_16,4358
100136,2026-03-21,2,cape town,168,Keyboard,Accessories,45,4,5,171.0,card,Cashier_19,3256
100137,2026-03-03,9,Johannesburg,152,Keyboard,Accessories,45,2,0,90.0,Card,Cashier_36,2292
100138,2026-02-16,1,Johannesburg,206,Keyboard,Accessories,45,3,0,135.0,eft,Cashier_3,3895
100139,17/03/2026,10,Pretoria,131,Monitor,Electronics,300,2,0,600.0,EFT,Cashier_13,4200
100140,2026/03/20,4,Cape Town,103,Laptop,Electronics,1200,3,10,3240.0,Card,Cashier_11,2037
100141,11/01/2026,1,Pretoria,151,Laptop,Electronics,1200,1,0,1200.0,Cash,Cashier_16,3009
100142,10/01/2026,10,cape town,148,Keyboard,Accessories,45,3,10,121.5,Cash,Cashier_38,2745
100143,14 Jan 2026,10,Johannesburg,186,monitor,Electronics,300,3,0,900.0,EFT,Cashier_13,3873
100144,15 Mar 2026,10,Durban,142,Monitor,Electronics,300,5,10,1350.0,eft,Cashier_20,3307
100145,2026-01-02,8,Durban,191,Monitor,Electronics,300,5,5,1425.0,EFT,Cashier_14,3865
100146,2026-02-25,2,Johannesburg,300,Monitor,Electronics,300,3,0,900.0,Cash,Cashier_35,4039
100147,2026/02/13,10,Cape Town,153,Laptop,Electronics,"1,200",3,10,3240.0,Cash,Cashier_8,3750
100148,2026/03/19,4,Cape Town,264,Laptop,Electronics,1200,2,5,2280.0,card,Cashier_33,4071
100149,09 Mar 2026,2,cape town,204,Keyboard,Accessories,45,3,5,128.25,eft,Cashier_3,3529
100150,18/02/2026,10,cape town,284,Mouse,Accessories,25,2,0,50.0,Cash,Cashier_1,3919
100151,2026-01-19,6,Durban,241,Keyboard,Accessories,45,4,10,162.0,eft,Cashier_32,2300
100152,2026/03/26,7,Cape Town,179,Laptop,Electronics,1200,5,5,5700.0,EFT,Cashier_8,3052
100153,2026-01-30,2,Pretoria,231,Mouse,Accessories,25,5,5,118.75,card,Cashier_9,2196
100154,08 Jan 2026,1,Cape Town,114,laptop,Electronics,"1,200",1,0,1200.0,eft,Cashier_22,2362
100155,02/03/2026,5,Johannesburg,248,Laptop,Electronics,1200,5,0,6000.0,Cash,Cashier_15,1748
100156,13 Mar 2026,1,Johannesburg,183,Mouse,Accessories,25,4,0,100.0,Card,Cashier_37,1757
100157,2026-02-08,1,Johannesburg,285,Laptop,Electronics,1200,2,0,2400.0,EFT,Cashier_10,1945
100158,12 Jan 2026,4,cape town,270,Laptop,Electronics,"1,200",3,5,3420.0,Card,Cashier_13,1221
100159,02 Feb 2026,4,Cape Town,285,Laptop,Electronics,1200,1,0,1200.0,card,Cashier_21,2433
