InvoiceID,ClientID,ClientName,Industry,ServiceType,Consultant,HoursWorked,HourlyRate,InvoiceAmount,InvoiceDate,DueDate,PaymentStatus,City,RevenuePerHour,PaymentDelay
200000,5390,Client_629,Retail,Consulting,Consultant_10,16,350,5600,2026-02-18T00:00:00Z,2026-04-24T00:00:00Z,Unpaid,Johannesburg,350,65
200001,6348,Client_330,Tech,Advisory,Consultant_2,12,500,6000,2026-02-26T00:00:00Z,2026-04-25T00:00:00Z,Unpaid,Cape Town,500,58
200002,6659,Client_512,Healthcare,Advisory,Consultant_19,13,350,4550,2026-03-01T00:00:00Z,2026-04-15T00:00:00Z,Paid,Durban,350,45
200003,6948,Client_164,Healthcare,Data Analysis,Consultant_13,14,600,8400,2026-02-01T00:00:00Z,2026-04-02T00:00:00Z,Unpaid,Durban,600,60
200004,8420,Client_335,Manufacturing,Advisory,Consultant_14,19,450,8550,2026-02-12T00:00:00Z,2026-04-19T00:00:00Z,Paid,Cape Town,450,66
200005,7154,Client_440,Manufacturing,Bookkeeping,Consultant_16,18,500,9000,2026-01-16T00:00:00Z,2026-06-28T00:00:00Z,Unpaid,Cape Town,500,163
200006,6774,Client_441,Finance,Advisory,Consultant_11,9,600,5400,2026-01-06T00:00:00Z,2026-04-17T00:00:00Z,Paid,Johannesburg,600,101
200007,5165,Client_167,Manufacturing,Bookkeeping,Consultant_16,15,450,6750,2026-03-04T00:00:00Z,2026-06-06T00:00:00Z,Unpaid,Pretoria,450,94
200008,7476,Client_41,Tech,Bookkeeping,Consultant_2,10,600,6000,2026-02-10T00:00:00Z,2026-04-16T00:00:00Z,Unpaid,Durban,600,65
200009,5328,Client_69,Manufacturing,Advisory,Consultant_7,8,350,2800,2026-01-23T00:00:00Z,2026-04-11T00:00:00Z,Paid,Johannesburg,350,78
200010,6589,Client_65,Finance,Bookkeeping,Consultant_12,8,600,4800,2026-03-30T00:00:00Z,2026-06-05T00:00:00Z,Unpaid,Durban,600,67
200011,5114,Client_326,Healthcare,Bookkeeping,Consultant_10,6,500,3000,2026-03-03T00:00:00Z,2026-04-22T00:00:00Z,Unpaid,Pretoria,500,50
200012,8815,Client_592,Retail,Advisory,Consultant_15,10,600,6000,2026-03-26T00:00:00Z,2026-04-05T00:00:00Z,Unpaid,Cape Town,600,10
200013,5132,Client_219,Manufacturing,Consulting,Consultant_21,7,450,3150,2026-01-22T00:00:00Z,2026-05-21T00:00:00Z,Paid,Cape Town,450,119
200014,8437,Client_179,Healthcare,Bookkeeping,Consultant_29,19,350,6650,2026-01-05T00:00:00Z,2026-05-07T00:00:00Z,Paid,Cape Town,350,122
200015,7525,Client_703,Retail,Consulting,Consultant_12,7,600,4200,2026-03-04T00:00:00Z,2026-05-07T00:00:00Z,Paid,Pretoria,600,64
200016,7116,Client_324,Retail,Data Analysis,Consultant_23,15,350,5250,2026-02-07T00:00:00Z,2026-06-06T00:00:00Z,Paid,Cape Town,350,119
200017,8681,Client_479,Manufacturing,Data Analysis,Consultant_6,7,500,3500,2026-01-20T00:00:00Z,2026-04-12T00:00:00Z,Paid,Pretoria,500,82
200018,6172,Client_217,Tech,Consulting,Consultant_9,12,500,6000,2026-01-28T00:00:00Z,2026-04-14T00:00:00Z,Unpaid,Cape Town,500,76
200019,8862,Client_523,Retail,Advisory,Consultant_29,18,450,8100,2026-01-24T00:00:00Z,2026-06-29T00:00:00Z,Paid,Johannesburg,450,156
200020,6162,Client_376,Retail,Consulting,Consultant_20,8,350,2800,2026-01-28T00:00:00Z,2026-04-05T00:00:00Z,Paid,Cape Town,350,67
200021,6103,Client_131,Tech,Advisory,Consultant_28,12,350,4200,2026-01-02T00:00:00Z,2026-05-26T00:00:00Z,Unpaid,Pretoria,350,144
200022,7510,Client_690,Manufacturing,Advisory,Consultant_28,11,500,5500,2026-02-03T00:00:00Z,2026-05-23T00:00:00Z,Unpaid,Cape Town,500,109
200023,8541,Client_141,Retail,Bookkeeping,Consultant_30,14,450,6300,2026-02-14T00:00:00Z,2026-04-18T00:00:00Z,Unpaid,Durban,450,63
200024,7203,Client_670,Healthcare,Bookkeeping,Consultant_7,12,350,4200,2026-02-19T00:00:00Z,2026-04-18T00:00:00Z,Unpaid,Pretoria,350,58
200025,5615,Client_360,Retail,Advisory,Consultant_25,14,500,7000,2026-03-12T00:00:00Z,2026-06-24T00:00:00Z,Paid,Cape Town,500,104
200026,6528,Client_602,Finance,Data Analysis,Consultant_25,10,500,5000,2026-01-29T00:00:00Z,2026-04-11T00:00:00Z,Unpaid,Johannesburg,500,72
200027,8337,Client_599,Tech,Data Analysis,Consultant_13,17,600,10200,2026-01-22T00:00:00Z,2026-04-28T00:00:00Z,Unpaid,Cape Town,600,96
200028,7878,Client_70,Retail,Consulting,Consultant_18,9,600,5400,2026-01-02T00:00:00Z,2026-06-28T00:00:00Z,Paid,Cape Town,600,177
200029,6256,Client_755,Healthcare,Data Analysis,Consultant_9,6,350,2100,2026-02-03T00:00:00Z,2026-06-12T00:00:00Z,Unpaid,Johannesburg,350,129
200030,7524,Client_774,Healthcare,Bookkeeping,Consultant_21,16,350,5600,2026-02-08T00:00:00Z,2026-05-09T00:00:00Z,Unpaid,Cape Town,350,90
200031,6173,Client_734,Tech,Consulting,Consultant_6,15,500,7500,2026-02-15T00:00:00Z,2026-04-28T00:00:00Z,Unpaid,Cape Town,500,72
200032,8299,Client_51,Manufacturing,Bookkeeping,Consultant_28,15,600,9000,2026-02-20T00:00:00Z,2026-04-29T00:00:00Z,Paid,Durban,600,68
200033,5649,Client_574,Manufacturing,Advisory,Consultant_2,20,350,7000,2026-01-24T00:00:00Z,2026-04-29T00:00:00Z,Unpaid,Cape Town,350,95
200034,5066,Client_422,Retail,Bookkeeping,Consultant_6,14,350,4900,2026-02-17T00:00:00Z,2026-06-11T00:00:00Z,Paid,Durban,350,114
200035,5515,Client_352,Finance,Data Analysis,Consultant_13,10,500,5000,2026-02-17T00:00:00Z,2026-05-27T00:00:00Z,Unpaid,Johannesburg,500,99
200036,7175,Client_261,Manufacturing,Advisory,Consultant_27,16,350,5600,2026-01-17T00:00:00Z,2026-05-07T00:00:00Z,Unpaid,Johannesburg,350,110
200037,6916,Client_547,Healthcare,Consulting,Consultant_15,15,450,6750,2026-01-02T00:00:00Z,2026-05-04T00:00:00Z,Unpaid,Johannesburg,450,122
200038,6150,Client_526,Retail,Consulting,Consultant_24,14,600,8400,2026-01-13T00:00:00Z,2026-06-24T00:00:00Z,Unpaid,Pretoria,600,162
200039,6278,Client_338,Healthcare,Consulting,Consultant_11,20,450,9000,2026-01-21T00:00:00Z,2026-05-15T00:00:00Z,Unpaid,Cape Town,450,114
200040,8054,Client_726,Healthcare,Advisory,Consultant_15,15,450,6750,2026-01-27T00:00:00Z,2026-04-30T00:00:00Z,Paid,Johannesburg,450,93
200041,5978,Client_700,Retail,Bookkeeping,Consultant_18,16,500,8000,2026-01-10T00:00:00Z,2026-06-14T00:00:00Z,Unpaid,Cape Town,500,155
200042,8364,Client_213,Manufacturing,Bookkeeping,Consultant_19,9,450,4050,2026-01-10T00:00:00Z,2026-06-24T00:00:00Z,Paid,Pretoria,450,165
200043,6818,Client_68,Finance,Bookkeeping,Consultant_26,6,350,2100,2026-02-24T00:00:00Z,2026-06-06T00:00:00Z,Paid,Cape Town,350,102
200044,6184,Client_732,Finance,Consulting,Consultant_9,14,450,6300,2026-02-12T00:00:00Z,2026-04-07T00:00:00Z,Paid,Cape Town,450,54
200045,7106,Client_503,Finance,Bookkeeping,Consultant_20,5,500,2500,2026-03-24T00:00:00Z,2026-04-20T00:00:00Z,Unpaid,Durban,500,27
200046,7701,Client_724,Healthcare,Advisory,Consultant_6,18,350,6300,2026-01-09T00:00:00Z,2026-06-10T00:00:00Z,Paid,Cape Town,350,152
200047,7378,Client_341,Retail,Data Analysis,Consultant_29,16,450,7200,2026-01-01T00:00:00Z,2026-05-13T00:00:00Z,Unpaid,Johannesburg,450,132
200048,8098,Client_79,Healthcare,Data Analysis,Consultant_2,9,600,5400,2026-01-12T00:00:00Z,2026-04-26T00:00:00Z,Paid,Cape Town,600,104
200049,5635,Client_156,Tech,Consulting,Consultant_15,14,500,7000,2026-01-07T00:00:00Z,2026-06-08T00:00:00Z,Unpaid,Durban,500,152
200050,6407,Client_640,Tech,Advisory,Consultant_4,8,450,3600,2026-03-19T00:00:00Z,2026-04-15T00:00:00Z,Unpaid,Cape Town,450,27
200051,6774,Client_539,Finance,Advisory,Consultant_2,5,600,3000,2026-01-09T00:00:00Z,2026-04-19T00:00:00Z,Paid,Cape Town,600,100
