TransactionID,Date,Account,Type,Category,Subcategory,Amount,VendorClient,Description,PaymentMethod,Department,City,Month,Revenue,Expense
300000,2026-03-09,Business,Expense,Utilities,Utilities Sub,-4241,Entity_695,Utilities Transaction,Eft,Sales,Cape Town,2026-03,0,4241
300001,2026-03-30,Card,Expense,Utilities,Utilities Sub,-9810,Entity_659,Utilities Transaction,Cash,Operations,Durban,2026-03,0,9810
300002,2026-03-08,Business,Expense,Software,Software Sub,-18465,Entity_45,Software Transaction,Card,Operations,Durban,2026-03,0,18465
300003,2026-02-16,Business,Expense,Consulting,Consulting Sub,-6494,Entity_611,Consulting Transaction,Card,Admin,Cape Town,2026-02,0,6494
300004,2026-02-15,Business,Income,Marketing,Marketing Sub,11622,Entity_821,Marketing Transaction,Card,Admin,Johannesburg,2026-02,11622,0
300005,2026-01-13,Business,Income,Software,Software Sub,16224,Entity_793,Software Transaction,Card,Operations,Cape Town,2026-01,16224,0
300006,2026-02-11,Business,Income,Consulting,Consulting Sub,16839,Entity_414,Consulting Transaction,Card,Admin,Cape Town,2026-02,16839,0
300007,2026-03-16,Business,Expense,Utilities,Utilities Sub,-10617,Entity_10,Utilities Transaction,Cash,Operations,Johannesburg,2026-03,0,10617
300008,2026-03-22,Card,Income,Consulting,Consulting Sub,8088,Entity_956,Consulting Transaction,Card,Sales,Cape Town,2026-03,8088,0
300009,2026-02-09,Business,Income,Rent,Rent Sub,4252,Entity_665,Rent Transaction,Eft,Admin,Cape Town,2026-02,4252,0
300010,2026-01-30,Business,Income,Marketing,Marketing Sub,18485,Entity_581,Marketing Transaction,Card,Operations,Cape Town,2026-01,18485,0
300011,2026-01-22,Card,Income,Consulting,Consulting Sub,18497,Entity_946,Consulting Transaction,Cash,Sales,Durban,2026-01,18497,0
300012,2026-02-10,Business,Expense,Utilities,Utilities Sub,-9810,Entity_125,Utilities Transaction,Eft,Operations,Johannesburg,2026-02,0,9810
300013,2026-01-20,Card,Expense,Marketing,Marketing Sub,-14765,Entity_805,Marketing Transaction,Card,Operations,Cape Town,2026-01,0,14765
300014,2026-01-21,Business,Expense,Sales,Sales Sub,-8516,Entity_369,Sales Transaction,Card,Admin,Durban,2026-01,0,8516
300015,2026-02-05,Business,Expense,Sales,Sales Sub,-15499,Entity_725,Sales Transaction,Card,Operations,Cape Town,2026-02,0,15499
300016,2026-02-23,Card,Income,Rent,Rent Sub,14139,Entity_703,Rent Transaction,Eft,Admin,Pretoria,2026-02,14139,0
300017,2026-02-24,Business,Expense,Rent,Rent Sub,-11959,Entity_501,Rent Transaction,Cash,Sales,Johannesburg,2026-02,0,11959
300018,2026-01-19,Business,Income,Sales,Sales Sub,7024,Entity_633,Sales Transaction,Eft,Sales,Pretoria,2026-01,7024,0
300019,2026-03-25,Card,Income,Rent,Rent Sub,2756,Entity_811,Rent Transaction,Cash,Operations,Durban,2026-03,2756,0
300020,2026-01-05,Card,Expense,Travel,Travel Sub,-15396,Entity_859,Travel Transaction,Cash,Operations,Durban,2026-01,0,15396
300021,2026-03-29,Card,Income,Travel,Travel Sub,14359,Entity_230,Travel Transaction,Cash,Operations,Cape Town,2026-03,14359,0
300022,2026-03-15,Business,Expense,Travel,Travel Sub,-7944,Entity_56,Travel Transaction,Eft,Admin,Johannesburg,2026-03,0,7944
300023,2026-02-25,Business,Expense,Sales,Sales Sub,-9515,Entity_732,Sales Transaction,Card,Admin,Pretoria,2026-02,0,9515
300024,2026-03-26,Card,Expense,Rent,Rent Sub,-12305,Entity_821,Rent Transaction,Eft,Sales,Pretoria,2026-03,0,12305
300025,2026-01-24,Card,Expense,Marketing,Marketing Sub,-1476,Entity_34,Marketing Transaction,Card,Admin,Cape Town,2026-01,0,1476
300026,2026-01-16,Card,Expense,Marketing,Marketing Sub,-11999,Entity_29,Marketing Transaction,Cash,Sales,Cape Town,2026-01,0,11999
300027,2026-02-25,Card,Income,Travel,Travel Sub,14021,Entity_647,Travel Transaction,Card,Admin,Pretoria,2026-02,14021,0
300028,2026-01-30,Card,Expense,Rent,Rent Sub,-7697,Entity_216,Rent Transaction,Card,Sales,Pretoria,2026-01,0,7697
300029,2026-02-09,Card,Expense,Utilities,Utilities Sub,-7765,Entity_980,Utilities Transaction,Card,Sales,Durban,2026-02,0,7765
300030,2026-01-25,Business,Expense,Sales,Sales Sub,-11481,Entity_147,Sales Transaction,Card,Sales,Cape Town,2026-01,0,11481
300031,2026-01-08,Card,Expense,Rent,Rent Sub,-2195,Entity_219,Rent Transaction,Eft,Sales,Cape Town,2026-01,0,2195
300032,2026-03-10,Card,Income,Sales,Sales Sub,14029,Entity_767,Sales Transaction,Eft,Sales,Durban,2026-03,14029,0
300033,2026-03-02,Card,Expense,Consulting,Consulting Sub,-5074,Entity_406,Consulting Transaction,Card,Operations,Pretoria,2026-03,0,5074
300034,2026-02-27,Card,Income,Sales,Sales Sub,3724,Entity_873,Sales Transaction,Card,Admin,Pretoria,2026-02,3724,0
300035,2026-02-18,Card,Income,Sales,Sales Sub,16419,Entity_953,Sales Transaction,Eft,Sales,Cape Town,2026-02,16419,0
300036,2026-02-19,Business,Expense,Software,Software Sub,-3384,Entity_93,Software Transaction,Cash,Admin,Durban,2026-02,0,3384
300037,2026-03-11,Business,Expense,Utilities,Utilities Sub,-8977,Entity_487,Utilities Transaction,Cash,Sales,Durban,2026-03,0,8977
300038,2026-03-16,Business,Expense,Sales,Sales Sub,-8818,Entity_135,Sales Transaction,Cash,Sales,Johannesburg,2026-03,0,8818
300039,2026-02-11,Card,Income,Marketing,Marketing Sub,3851,Entity_718,Marketing Transaction,Eft,Operations,Cape Town,2026-02,3851,0
300040,2026-02-12,Card,Income,Travel,Travel Sub,15160,Entity_398,Travel Transaction,Cash,Admin,Cape Town,2026-02,15160,0
300041,2026-03-07,Card,Income,Travel,Travel Sub,3124,Entity_698,Travel Transaction,Eft,Sales,Durban,2026-03,3124,0
300042,2026-02-14,Card,Expense,Rent,Rent Sub,-6045,Entity_980,Rent Transaction,Eft,Admin,Durban,2026-02,0,6045
300043,2026-03-20,Business,Income,Marketing,Marketing Sub,6759,Entity_583,Marketing Transaction,Card,Admin,Cape Town,2026-03,6759,0
300044,2026-02-16,Business,Income,Software,Software Sub,17322,Entity_793,Software Transaction,Card,Operations,Cape Town,2026-02,17322,0
300045,2026-03-10,Card,Income,Travel,Travel Sub,6113,Entity_244,Travel Transaction,Eft,Admin,Johannesburg,2026-03,6113,0
